               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  25,            0.028333,           0.0049792,                   0,              0.9988,             0.97925,             0.98595,             0.61588,            0.026848,           0.0035382,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.02857,           0.0048753,                   0,                   1,             0.98286,             0.98619,             0.61175,            0.026732,           0.0035871,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.028023,           0.0050073,                   0,             0.99155,             0.97384,             0.98531,             0.62572,            0.026148,           0.0036767,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.028105,           0.0047849,                   0,             0.99868,              0.9751,             0.98579,             0.62875,            0.026077,           0.0035576,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.028076,           0.0048568,                   0,             0.99548,              0.9834,             0.98612,             0.61814,            0.026454,           0.0035449,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.027521,           0.0048824,                   0,             0.99949,             0.98755,              0.9863,              0.6245,            0.026114,            0.003475,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.027404,           0.0049023,                   0,              0.9999,             0.98755,             0.98615,             0.62685,            0.026132,           0.0035733,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.027261,           0.0047681,                   0,             0.99942,             0.97925,             0.98608,              0.6203,            0.027148,           0.0035453,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.027277,           0.0048381,                   0,             0.99868,             0.97925,             0.98519,             0.61815,            0.025834,           0.0036037,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.026649,           0.0048384,                   0,             0.99558,              0.9341,             0.96776,             0.58325,            0.028346,           0.0038856,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.027062,           0.0048093,                   0,             0.99924,              0.9834,             0.98563,             0.62743,            0.025493,           0.0035667,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.027087,           0.0049842,                   0,             0.99579,             0.98178,             0.98567,             0.62897,            0.025798,           0.0035017,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.026899,           0.0047388,                   0,             0.99982,             0.98755,             0.98592,             0.62699,            0.025499,           0.0034366,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.026027,           0.0046975,                   0,             0.99962,             0.98755,             0.98636,             0.62724,            0.025645,           0.0034521,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.026562,           0.0048631,                   0,             0.99905,             0.98755,             0.98645,             0.63885,            0.025058,           0.0035095,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.025806,           0.0048535,                   0,                   1,             0.98753,             0.98665,             0.63538,            0.025338,           0.0034963,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.026542,           0.0047657,                   0,                   1,             0.98721,             0.98611,             0.62719,            0.025696,           0.0034807,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.026085,           0.0046848,                   0,             0.99082,             0.98755,             0.98574,             0.62388,            0.025344,           0.0035037,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.026018,           0.0046341,                   0,                   1,             0.98645,             0.98621,             0.63198,             0.02577,           0.0034973,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.026302,           0.0046519,                   0,             0.99987,             0.98755,             0.98652,             0.63805,            0.025587,            0.003453,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.025929,           0.0047841,                   0,             0.99532,              0.9834,             0.98638,             0.62977,            0.025938,           0.0034947,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.02563,           0.0046986,                   0,             0.99958,             0.98755,             0.98663,              0.6451,            0.025261,           0.0034572,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.025778,           0.0046664,                   0,             0.99968,             0.98755,             0.98667,              0.6286,            0.025452,           0.0034106,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.025705,           0.0046287,                   0,             0.99971,             0.98755,             0.98653,             0.64239,            0.025515,           0.0034422,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.02531,            0.004692,                   0,                   1,             0.98709,               0.987,             0.63849,            0.025686,           0.0034599,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.025275,           0.0046502,                   0,             0.99937,             0.98755,             0.98663,             0.63339,            0.025536,           0.0034722,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.025318,           0.0046636,                   0,             0.99984,             0.98755,             0.98667,             0.63749,            0.024932,            0.003418,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.02502,           0.0044826,                   0,             0.99946,             0.98755,             0.98674,             0.64542,            0.024832,           0.0034266,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.025317,           0.0046192,                   0,             0.99959,             0.97925,             0.98623,             0.63667,            0.025077,           0.0035055,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.024511,           0.0046754,                   0,                   1,             0.98695,              0.9864,             0.63602,            0.024871,           0.0034187,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.024583,           0.0046745,                   0,                   1,             0.98279,             0.98644,             0.64393,            0.024719,           0.0034604,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.024906,           0.0046266,                   0,             0.99505,             0.98755,             0.98627,             0.62836,            0.025465,           0.0035121,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.024332,           0.0044446,                   0,             0.99956,             0.97925,              0.9864,             0.62863,            0.025351,           0.0035759,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.02444,           0.0045049,                   0,                   1,             0.98651,             0.98644,             0.63645,            0.025041,            0.003506,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.024098,           0.0045469,                   0,             0.99522,             0.98755,             0.98658,             0.64883,             0.02498,           0.0034505,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.024208,           0.0044969,                   0,             0.99955,              0.9834,             0.98685,             0.63868,            0.024962,           0.0034855,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.024276,           0.0045422,                   0,              0.9995,              0.9834,             0.98652,             0.64096,            0.025267,           0.0035062,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.024293,           0.0044508,                   0,             0.99906,             0.98755,             0.98622,             0.63586,            0.025212,           0.0034772,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.024179,           0.0044794,                   0,             0.99957,              0.9834,             0.98691,             0.64128,            0.024963,           0.0034836,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.024085,            0.004467,                   0,             0.99972,              0.9834,             0.98664,             0.64216,            0.025223,           0.0034873,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.023968,           0.0044631,                   0,              0.9998,              0.9834,             0.98701,             0.64392,            0.024907,           0.0034823,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.023898,           0.0044282,                   0,                   1,             0.98299,             0.98664,             0.63713,            0.025196,           0.0034822,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.023338,           0.0045175,                   0,             0.99971,             0.98755,             0.98649,             0.63784,            0.025125,           0.0034723,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.023527,           0.0045225,                   0,             0.99926,             0.98755,             0.98695,             0.63863,            0.025049,           0.0034542,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.023145,           0.0046038,                   0,             0.99891,             0.98755,             0.98699,             0.63619,            0.025024,           0.0034412,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.023381,           0.0044806,                   0,             0.99966,             0.98755,             0.98709,             0.64714,             0.02469,           0.0034311,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.02309,           0.0044611,                   0,                   1,             0.98751,             0.98713,             0.64551,              0.0246,           0.0034532,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.023014,           0.0043793,                   0,             0.99578,             0.98755,             0.98694,             0.63566,            0.024862,           0.0034505,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.023013,            0.004497,                   0,             0.99919,             0.98755,             0.98707,             0.64166,             0.02475,           0.0034896,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.023223,             0.00438,                   0,             0.99581,             0.98732,             0.98719,             0.64417,            0.024975,           0.0034787,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.022961,           0.0044205,                   0,                   1,             0.98724,               0.987,             0.64244,            0.024783,           0.0035313,                   0,            0.002674,            0.002674,            0.002674
