epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,396.048,1.36478,0.59328,1.09811,0.99098,0.95851,0.98531,0.63067,1.31472,0.5425,1.14019,0.001604,0.001604,0.001604
22,413.961,1.34162,0.58754,1.08832,0.98229,0.97095,0.98649,0.628,1.34188,0.5263,1.14435,0.0015842,0.0015842,0.0015842
23,432.379,1.32036,0.58624,1.08908,0.99925,0.9668,0.98735,0.61684,1.36218,0.53234,1.15966,0.0015644,0.0015644,0.0015644
24,450.758,1.33632,0.58235,1.10068,0.99118,0.97925,0.988,0.63323,1.31871,0.53831,1.14626,0.0015446,0.0015446,0.0015446
25,468.896,1.32319,0.57977,1.09075,1,0.96835,0.98623,0.6317,1.29762,0.51362,1.14102,0.0015248,0.0015248,0.0015248
26,487.682,1.3328,0.5854,1.08292,0.9909,0.9668,0.98043,0.62182,1.34684,0.52306,1.14418,0.001505,0.001505,0.001505
27,505.71,1.32257,0.57028,1.08668,1,0.96252,0.9888,0.6427,1.29187,0.52209,1.12808,0.0014852,0.0014852,0.0014852
28,523.866,1.30376,0.56545,1.06918,1,0.97442,0.98866,0.64595,1.30029,0.50057,1.13677,0.0014654,0.0014654,0.0014654
29,542.2,1.3444,0.56915,1.08752,0.99827,0.9751,0.98876,0.62359,1.38328,0.53826,1.15041,0.0014456,0.0014456,0.0014456
30,560.224,1.32323,0.56553,1.09119,0.99918,0.9751,0.98429,0.61667,1.37368,0.5604,1.16327,0.0014258,0.0014258,0.0014258
31,577.981,1.33492,0.57458,1.08861,0.99913,0.9834,0.98772,0.62429,1.30084,0.51168,1.12956,0.001406,0.001406,0.001406
32,596.447,1.31142,0.55744,1.07849,0.99456,0.9751,0.98872,0.64575,1.31475,0.50511,1.1384,0.0013862,0.0013862,0.0013862
33,614.924,1.29956,0.56003,1.08302,1,0.96891,0.98481,0.62388,1.34591,0.51734,1.14791,0.0013664,0.0013664,0.0013664
34,633.208,1.30518,0.55867,1.08627,0.99686,0.9751,0.98779,0.63411,1.30514,0.51376,1.13147,0.0013466,0.0013466,0.0013466
35,651.127,1.28831,0.56076,1.06587,0.99918,0.9751,0.98427,0.65422,1.2746,0.49276,1.13042,0.0013268,0.0013268,0.0013268
36,669.162,1.28155,0.54486,1.05769,0.99473,0.97925,0.98595,0.63033,1.2927,0.50258,1.13388,0.001307,0.001307,0.001307
37,687.262,1.30119,0.55071,1.07175,0.99468,0.9668,0.98423,0.64795,1.29519,0.49917,1.12999,0.0012872,0.0012872,0.0012872
38,705.772,1.29601,0.54066,1.07164,0.99574,0.9703,0.98939,0.64601,1.32225,0.4999,1.14334,0.0012674,0.0012674,0.0012674
39,724.148,1.29087,0.53987,1.06357,0.99459,0.97095,0.9886,0.6617,1.26491,0.49251,1.1137,0.0012476,0.0012476,0.0012476
40,742.299,1.26359,0.52534,1.0735,0.99197,0.95851,0.9844,0.6397,1.30849,0.49186,1.13763,0.0012278,0.0012278,0.0012278
41,760.463,1.26382,0.53737,1.05562,1,0.96587,0.98145,0.62209,1.32874,0.49943,1.14412,0.001208,0.001208,0.001208
42,779.418,1.28709,0.5323,1.06021,0.99729,0.9668,0.98432,0.6424,1.29334,0.48198,1.12688,0.0011882,0.0011882,0.0011882
43,797.947,1.27642,0.53854,1.06722,0.99158,0.97709,0.98675,0.6417,1.29226,0.48901,1.12543,0.0011684,0.0011684,0.0011684
44,816.4,1.27276,0.53201,1.06902,1,0.95848,0.98239,0.63924,1.34304,0.50825,1.13797,0.0011486,0.0011486,0.0011486
45,835.136,1.29913,0.53828,1.07329,0.99156,0.97475,0.98837,0.65487,1.26531,0.48419,1.12023,0.0011288,0.0011288,0.0011288
46,853.526,1.27229,0.52838,1.06504,0.99576,0.9748,0.98303,0.64984,1.28203,0.48118,1.12758,0.001109,0.001109,0.001109
47,874.361,1.26658,0.52692,1.0592,1,0.97913,0.98721,0.65131,1.29414,0.49231,1.12993,0.0010892,0.0010892,0.0010892
48,894.432,1.27412,0.53638,1.06915,0.99149,0.96662,0.9809,0.64275,1.26558,0.4803,1.11653,0.0010694,0.0010694,0.0010694
49,914.329,1.27834,0.52108,1.06746,0.99953,0.97925,0.99058,0.66222,1.2763,0.48664,1.11879,0.0010496,0.0010496,0.0010496
50,935.004,1.26758,0.52781,1.0619,1,0.97095,0.98871,0.65742,1.28502,0.48613,1.11794,0.0010298,0.0010298,0.0010298
51,954.167,1.26174,0.52548,1.05666,0.9994,0.97095,0.988,0.65091,1.28447,0.47564,1.12038,0.00101,0.00101,0.00101
52,974.585,1.2554,0.51835,1.05404,0.99574,0.97026,0.98443,0.62603,1.304,0.47827,1.1289,0.0009902,0.0009902,0.0009902
53,994.458,1.26632,0.52292,1.06713,0.99938,0.97095,0.98836,0.66575,1.27814,0.47947,1.12176,0.0009704,0.0009704,0.0009704
54,1015.2,1.25314,0.51053,1.06288,0.99132,0.97925,0.98655,0.65421,1.26676,0.46401,1.11485,0.0009506,0.0009506,0.0009506
55,1034.73,1.26465,0.51232,1.07081,1,0.97487,0.98961,0.66272,1.27403,0.47588,1.1169,0.0009308,0.0009308,0.0009308
56,1054.4,1.24828,0.5083,1.05509,0.99152,0.97925,0.98409,0.66257,1.26074,0.46313,1.11655,0.000911,0.000911,0.000911
57,1076.07,1.23703,0.50388,1.04939,0.99148,0.966,0.98166,0.65489,1.24275,0.45879,1.11214,0.0008912,0.0008912,0.0008912
58,1097.52,1.22896,0.50423,1.05027,1,0.98227,0.9916,0.65265,1.27922,0.45839,1.11629,0.0008714,0.0008714,0.0008714
59,1120.66,1.24385,0.50284,1.04927,0.99152,0.97064,0.97673,0.62332,1.29095,0.46324,1.13079,0.0008516,0.0008516,0.0008516
60,1142.69,1.24359,0.50204,1.0534,1,0.98294,0.98908,0.66128,1.26086,0.46011,1.11488,0.0008318,0.0008318,0.0008318
61,1164.08,1.23586,0.5023,1.05392,1,0.98281,0.98902,0.657,1.25915,0.46204,1.11268,0.000812,0.000812,0.000812
62,1185.06,1.24543,0.50963,1.05523,0.99481,0.9751,0.99005,0.66418,1.25623,0.46219,1.10998,0.0007922,0.0007922,0.0007922
63,1206.18,1.22896,0.49397,1.04745,0.99711,0.97925,0.99052,0.66701,1.25529,0.46212,1.1148,0.0007724,0.0007724,0.0007724
64,1226.27,1.22121,0.49747,1.04521,0.99953,0.97925,0.98849,0.65382,1.27206,0.47263,1.12265,0.0007526,0.0007526,0.0007526
65,1244.91,1.24089,0.50386,1.06158,1,0.98231,0.99083,0.66768,1.25882,0.45441,1.1049,0.0007328,0.0007328,0.0007328
66,1263.74,1.22439,0.48861,1.04204,0.99508,0.97925,0.98375,0.65531,1.24357,0.44975,1.10449,0.000713,0.000713,0.000713
67,1282.39,1.22329,0.48711,1.0423,0.99159,0.97852,0.98525,0.6638,1.21668,0.44846,1.09398,0.0006932,0.0006932,0.0006932
68,1301.27,1.2064,0.48631,1.03903,1,0.9792,0.98893,0.66368,1.23309,0.44081,1.10264,0.0006734,0.0006734,0.0006734
69,1319.97,1.22824,0.49214,1.04593,1,0.97923,0.98724,0.6698,1.23813,0.4446,1.09569,0.0006536,0.0006536,0.0006536
70,1338.99,1.23199,0.4943,1.04547,0.99523,0.9751,0.9842,0.65378,1.24146,0.45112,1.10089,0.0006338,0.0006338,0.0006338
71,1358.05,1.21803,0.48482,1.04671,0.9949,0.9751,0.98867,0.65488,1.24365,0.44425,1.10519,0.000614,0.000614,0.000614
72,1376.79,1.21979,0.48295,1.05127,0.99111,0.97925,0.98916,0.67105,1.24143,0.43584,1.10778,0.0005942,0.0005942,0.0005942
73,1395.64,1.20384,0.48153,1.04085,0.99578,0.97906,0.98828,0.66314,1.23145,0.44736,1.09985,0.0005744,0.0005744,0.0005744
74,1414.43,1.20596,0.47701,1.04644,0.99529,0.97925,0.989,0.67243,1.2244,0.44696,1.0973,0.0005546,0.0005546,0.0005546
75,1433.08,1.20219,0.47555,1.04092,1,0.97484,0.98895,0.67141,1.25252,0.4465,1.10772,0.0005348,0.0005348,0.0005348
76,1452.87,1.18279,0.47555,1.02617,0.99957,0.9834,0.99039,0.6734,1.22446,0.43624,1.10116,0.000515,0.000515,0.000515
77,1472.92,1.19077,0.47876,1.03604,0.99933,0.97925,0.98927,0.66342,1.24154,0.44172,1.10096,0.0004952,0.0004952,0.0004952
78,1491.57,1.21713,0.4791,1.04256,0.99971,0.97925,0.9895,0.66202,1.24136,0.44479,1.10705,0.0004754,0.0004754,0.0004754
79,1510.57,1.20125,0.47496,1.03774,0.99959,0.9751,0.98887,0.66557,1.23046,0.4424,1.09965,0.0004556,0.0004556,0.0004556
80,1529.57,1.21239,0.47333,1.03511,0.99446,0.9751,0.98805,0.66522,1.24721,0.43847,1.10845,0.0004358,0.0004358,0.0004358
81,1548.3,1.20285,0.47353,1.03757,1,0.98319,0.99096,0.67315,1.24244,0.43563,1.11081,0.000416,0.000416,0.000416
82,1567.32,1.19545,0.47187,1.03733,1,0.98679,0.99071,0.66453,1.2601,0.44025,1.11371,0.0003962,0.0003962,0.0003962
83,1586.13,1.16465,0.46819,1.02585,0.99341,0.9668,0.98255,0.67321,1.21838,0.43043,1.1018,0.0003764,0.0003764,0.0003764
84,1604.91,1.19041,0.4675,1.04385,0.99547,0.9751,0.98879,0.67222,1.22388,0.43017,1.1026,0.0003566,0.0003566,0.0003566
85,1623.81,1.16546,0.46246,1.0258,0.9958,0.98264,0.99107,0.67372,1.23139,0.42766,1.10455,0.0003368,0.0003368,0.0003368
86,1642.78,1.17068,0.45919,1.0209,0.99969,0.97925,0.99094,0.68063,1.21739,0.42952,1.10156,0.000317,0.000317,0.000317
87,1661.8,1.18083,0.46358,1.03161,0.99576,0.97505,0.98827,0.66971,1.24062,0.44109,1.1075,0.0002972,0.0002972,0.0002972
88,1680.85,1.16167,0.45659,1.01808,0.99531,0.9751,0.98812,0.6783,1.23127,0.42968,1.09931,0.0002774,0.0002774,0.0002774
89,1699.78,1.16314,0.45826,1.0243,0.99309,0.97925,0.98918,0.67991,1.22012,0.43368,1.10193,0.0002576,0.0002576,0.0002576
90,1718.1,1.17754,0.45628,1.03192,1,0.97891,0.99076,0.67636,1.23289,0.43619,1.10368,0.0002378,0.0002378,0.0002378
91,1757.31,1.15862,0.42731,1.08317,0.99163,0.9832,0.9891,0.66867,1.23301,0.42823,1.11167,0.000218,0.000218,0.000218
92,1775.93,1.1485,0.41955,1.07513,0.99919,0.9834,0.9902,0.67815,1.22238,0.42308,1.10283,0.0001982,0.0001982,0.0001982
93,1795.21,1.14607,0.41946,1.0683,0.99943,0.9834,0.98947,0.66996,1.23516,0.4213,1.10304,0.0001784,0.0001784,0.0001784
94,1814.05,1.13588,0.4149,1.07665,0.99576,0.97478,0.98785,0.65945,1.22291,0.42346,1.0982,0.0001586,0.0001586,0.0001586
95,1833.2,1.13544,0.41378,1.07187,0.99939,0.9834,0.98877,0.65872,1.21366,0.42177,1.09937,0.0001388,0.0001388,0.0001388
96,1852.04,1.13286,0.41151,1.06616,0.99486,0.97925,0.98725,0.66353,1.21621,0.41249,1.09886,0.000119,0.000119,0.000119
97,1870.87,1.13849,0.41107,1.07102,1,0.98249,0.98885,0.66685,1.22008,0.41933,1.10024,9.92e-05,9.92e-05,9.92e-05
98,1890,1.13142,0.4085,1.07283,0.99929,0.9834,0.98903,0.66632,1.21324,0.41863,1.09827,7.94e-05,7.94e-05,7.94e-05
99,1908.85,1.12189,0.40772,1.07003,0.99919,0.9834,0.98847,0.66734,1.20622,0.41464,1.09766,5.96e-05,5.96e-05,5.96e-05
100,1927.63,1.11888,0.40655,1.06074,0.99917,0.9834,0.98946,0.6667,1.21212,0.41507,1.09748,3.98e-05,3.98e-05,3.98e-05
